timestamp,temperature_C,humidity_percent,traffic_index,demand_kWh
2025-05-01 00:00:00,30.26,74.74,0.8,50.19
2025-05-01 01:00:00,27.75,58.09,0.52,43.47
2025-05-01 02:00:00,34.8,80.43,0.18,51.11
2025-05-01 03:00:00,39.68,70.45,0.74,51.14
2025-05-01 04:00:00,31.19,63.65,0.64,44.71
2025-05-01 05:00:00,31.19,69.86,0.93,53.61
2025-05-01 06:00:00,24.8,63.07,0.13,40.77
2025-05-01 07:00:00,25.66,59.58,0.17,47.37
2025-05-01 08:00:00,25.07,52.55,0.07,36.07
2025-05-01 09:00:00,26.28,61.0,0.14,42.52
2025-05-01 10:00:00,27.68,41.48,0.45,35.85
2025-05-01 11:00:00,26.28,60.39,0.3,39.72
2025-05-01 12:00:00,32.22,81.0,0.29,50.03
2025-05-01 13:00:00,35.43,56.82,0.42,45.28
2025-05-01 14:00:00,28.68,80.41,0.23,49.76
2025-05-01 15:00:00,26.21,72.53,0.07,46.97
2025-05-01 16:00:00,31.99,73.62,0.06,46.91
2025-05-01 17:00:00,26.56,56.93,0.97,50.4
2025-05-01 18:00:00,23.61,62.53,0.17,39.69
2025-05-01 19:00:00,27.67,76.05,0.4,48.58
2025-05-01 20:00:00,28.04,70.3,0.57,48.54
2025-05-01 21:00:00,28.15,63.81,0.59,43.71
2025-05-01 22:00:00,36.04,65.64,0.82,53.46
2025-05-01 23:00:00,28.11,62.31,0.61,43.72
2025-05-02 00:00:00,30.36,69.4,0.99,46.71
2025-05-02 01:00:00,22.49,71.07,0.65,43.12
2025-05-02 02:00:00,29.77,58.94,0.3,44.07
2025-05-02 03:00:00,35.19,48.7,0.32,47.81
2025-05-02 04:00:00,37.57,74.77,0.32,48.33
2025-05-02 05:00:00,39.83,75.83,0.05,54.91
2025-05-02 06:00:00,34.65,65.53,0.83,50.56
2025-05-02 07:00:00,25.02,46.74,0.06,34.21
2025-05-02 08:00:00,23.83,59.1,0.07,35.84
2025-05-02 09:00:00,28.83,82.45,0.97,60.22
2025-05-02 10:00:00,34.85,66.99,0.89,55.29
2025-05-02 11:00:00,39.2,70.28,0.56,53.73
2025-05-02 12:00:00,21.73,67.03,0.11,38.96
2025-05-02 13:00:00,28.15,63.95,0.95,45.88
2025-05-02 14:00:00,34.02,47.07,0.22,43.35
2025-05-02 15:00:00,19.68,68.65,0.47,43.52
2025-05-02 16:00:00,31.07,67.66,0.87,48.83
2025-05-02 17:00:00,28.06,49.06,0.47,43.29
2025-05-02 18:00:00,33.95,54.65,0.31,42.14
2025-05-02 19:00:00,32.91,59.64,0.76,45.37
2025-05-02 20:00:00,29.32,62.02,0.58,46.7
2025-05-02 21:00:00,28.02,62.27,0.65,43.92
2025-05-02 22:00:00,33.85,52.12,0.63,46.61
2025-05-02 23:00:00,29.83,61.67,0.16,42.48
2025-05-03 00:00:00,21.06,55.42,0.57,38.79
2025-05-03 01:00:00,31.23,71.49,0.05,50.87
2025-05-03 02:00:00,25.96,52.2,0.55,40.59
2025-05-03 03:00:00,22.18,72.22,0.98,52.85
2025-05-03 04:00:00,29.93,59.56,0.26,42.33
2025-05-03 05:00:00,30.04,69.68,0.0,44.59
2025-05-03 06:00:00,29.55,53.4,0.13,45.28
2025-05-03 07:00:00,27.59,35.16,0.48,32.03
2025-05-03 08:00:00,31.71,44.1,0.08,37.18
2025-05-03 09:00:00,33.1,75.12,0.64,54.25
2025-05-03 10:00:00,29.1,57.82,0.75,41.85
2025-05-03 11:00:00,34.85,67.95,0.72,56.93
2025-05-03 12:00:00,27.33,65.67,0.32,45.78
2025-05-03 13:00:00,39.59,75.0,0.93,60.88
2025-05-03 14:00:00,28.74,69.11,0.96,50.51
2025-05-03 15:00:00,33.37,48.95,0.46,40.76
2025-05-03 16:00:00,29.08,46.72,0.55,41.82
2025-05-03 17:00:00,37.77,66.19,0.53,50.43
