timestamp,temperature_C,humidity_percent,traffic_index,demand_kWh
2025-05-01 00:00:00,25.58,59.63,0.28,40.99
2025-05-01 01:00:00,29.52,47.55,0.64,40.39
2025-05-01 02:00:00,27.87,51.47,0.08,34.16
2025-05-01 03:00:00,31.39,45.03,0.71,48.5
2025-05-01 04:00:00,28.73,49.79,0.79,46.19
2025-05-01 05:00:00,25.84,49.29,0.69,43.45
2025-05-01 06:00:00,28.1,58.63,0.39,46.15
2025-05-01 07:00:00,33.51,50.06,0.06,43.37
2025-05-01 08:00:00,31.96,58.09,0.11,37.53
2025-05-01 09:00:00,38.58,54.8,0.7,45.97
2025-05-01 10:00:00,23.76,56.74,0.19,37.86
2025-05-01 11:00:00,26.63,62.86,0.87,47.67
2025-05-01 12:00:00,25.99,60.37,0.11,40.73
2025-05-01 13:00:00,19.33,66.06,0.68,44.56
2025-05-01 14:00:00,25.96,54.93,0.22,44.6
2025-05-01 15:00:00,27.47,43.16,0.55,42.1
2025-05-01 16:00:00,24.1,74.26,0.45,49.79
2025-05-01 17:00:00,26.29,67.16,0.46,47.54
2025-05-01 18:00:00,37.35,61.04,0.95,50.51
2025-05-01 19:00:00,35.68,60.2,0.03,45.53
2025-05-01 20:00:00,28.82,70.8,0.29,50.94
2025-05-01 21:00:00,25.92,72.49,0.78,47.55
2025-05-01 22:00:00,29.44,59.44,0.26,49.8
2025-05-01 23:00:00,36.19,62.97,0.24,44.84
2025-05-02 00:00:00,29.18,50.41,0.17,40.64
2025-05-02 01:00:00,26.66,47.55,0.46,41.27
2025-05-02 02:00:00,35.22,54.86,0.54,44.15
2025-05-02 03:00:00,24.41,52.89,0.41,40.49
2025-05-02 04:00:00,20.84,60.36,0.97,40.61
2025-05-02 05:00:00,28.85,55.49,0.25,38.97
2025-05-02 06:00:00,22.28,63.2,0.89,43.77
2025-05-02 07:00:00,34.01,70.62,0.66,43.23
2025-05-02 08:00:00,31.12,41.94,0.18,40.73
2025-05-02 09:00:00,34.88,67.85,0.86,51.38
2025-05-02 10:00:00,32.69,53.02,0.07,42.67
2025-05-02 11:00:00,25.14,85.38,0.76,59.25
2025-05-02 12:00:00,27.83,63.2,0.1,46.48
2025-05-02 13:00:00,29.73,65.57,0.1,42.7
2025-05-02 14:00:00,30.66,38.86,0.41,40.51
2025-05-02 15:00:00,27.85,40.66,0.38,37.39
2025-05-02 16:00:00,22.98,74.31,0.11,43.6
2025-05-02 17:00:00,33.76,57.18,0.52,48.49
2025-05-02 18:00:00,34.45,79.2,0.24,53.97
2025-05-02 19:00:00,32.96,71.92,0.18,52.4
2025-05-02 20:00:00,26.74,61.87,0.01,44.49
2025-05-02 21:00:00,30.17,58.22,0.93,45.3
2025-05-02 22:00:00,33.81,56.22,0.23,37.85
2025-05-02 23:00:00,33.59,67.02,0.27,51.56
2025-05-03 00:00:00,32.5,58.11,0.43,44.55
2025-05-03 01:00:00,35.73,57.55,0.17,43.46
2025-05-03 02:00:00,29.27,73.34,0.98,55.27
2025-05-03 03:00:00,34.09,57.0,0.02,45.49
2025-05-03 04:00:00,24.21,72.42,0.15,48.86
2025-05-03 05:00:00,33.98,52.85,0.68,51.14
2025-05-03 06:00:00,29.41,57.54,0.85,45.95
2025-05-03 07:00:00,26.24,61.83,0.59,43.35
2025-05-03 08:00:00,30.33,44.24,0.32,37.93
2025-05-03 09:00:00,34.02,61.91,0.46,44.94
2025-05-03 10:00:00,30.21,67.57,0.4,47.89
2025-05-03 11:00:00,30.63,33.1,0.62,40.31
2025-05-03 12:00:00,32.11,71.89,0.73,50.13
2025-05-03 13:00:00,33.13,70.67,0.91,49.28
2025-05-03 14:00:00,29.93,58.28,1.0,50.44
2025-05-03 15:00:00,40.06,62.32,0.36,51.43
2025-05-03 16:00:00,31.67,51.95,0.01,39.53
2025-05-03 17:00:00,34.78,56.92,0.46,50.73
2025-05-03 18:00:00,28.57,49.84,0.29,39.61
2025-05-03 19:00:00,25.36,55.53,0.89,43.48
