timestamp,temperature_C,humidity_percent,traffic_index,demand_kWh
2025-05-01 00:00:00,42.68,64.36,0.24,53.89
2025-05-01 01:00:00,28.56,50.91,0.45,43.27
2025-05-01 02:00:00,33.16,71.0,0.09,45.72
2025-05-01 03:00:00,30.24,56.32,0.1,45.17
2025-05-01 04:00:00,31.96,58.22,0.25,42.87
2025-05-01 05:00:00,26.95,55.75,0.56,41.58
2025-05-01 06:00:00,16.01,73.27,0.07,33.92
2025-05-01 07:00:00,29.68,57.85,0.47,42.2
2025-05-01 08:00:00,34.26,68.29,0.99,53.67
2025-05-01 09:00:00,25.89,60.35,0.83,46.65
2025-05-01 10:00:00,31.22,58.28,0.19,42.3
2025-05-01 11:00:00,24.23,60.41,0.68,44.39
2025-05-01 12:00:00,25.86,50.4,0.41,37.46
2025-05-01 13:00:00,28.96,48.09,0.84,42.24
2025-05-01 14:00:00,35.01,54.32,0.05,42.47
2025-05-01 15:00:00,30.74,78.88,0.9,56.16
2025-05-01 16:00:00,25.94,63.14,0.69,46.54
2025-05-01 17:00:00,29.74,61.06,0.75,52.54
2025-05-01 18:00:00,27.62,64.91,0.0,43.29
2025-05-01 19:00:00,41.28,51.63,0.41,51.05
2025-05-01 20:00:00,28.95,58.98,0.18,47.1
2025-05-01 21:00:00,32.67,55.93,0.65,45.18
2025-05-01 22:00:00,25.38,60.34,0.37,42.19
2025-05-01 23:00:00,28.65,67.82,0.55,47.39
2025-05-02 00:00:00,23.02,67.01,0.18,38.62
2025-05-02 01:00:00,33.94,74.9,0.16,47.17
2025-05-02 02:00:00,30.28,74.3,0.52,46.43
2025-05-02 03:00:00,31.59,61.68,0.42,45.95
2025-05-02 04:00:00,26.29,69.79,0.44,49.22
2025-05-02 05:00:00,27.08,68.45,0.01,49.34
2025-05-02 06:00:00,32.94,71.19,0.01,45.12
2025-05-02 07:00:00,24.98,65.56,0.43,39.8
2025-05-02 08:00:00,28.5,68.4,0.83,48.03
2025-05-02 09:00:00,31.21,56.96,0.86,48.0
2025-05-02 10:00:00,31.72,59.0,0.21,43.24
2025-05-02 11:00:00,34.41,57.78,0.44,45.72
2025-05-02 12:00:00,23.25,72.28,0.79,44.16
2025-05-02 13:00:00,32.67,65.16,0.54,48.04
2025-05-02 14:00:00,31.79,49.57,0.55,40.3
2025-05-02 15:00:00,28.65,57.54,0.95,50.08
2025-05-02 16:00:00,36.86,62.47,0.51,47.44
2025-05-02 17:00:00,34.46,55.7,0.97,47.29
2025-05-02 18:00:00,28.56,57.08,0.11,44.24
2025-05-02 19:00:00,24.59,44.16,0.18,38.22
2025-05-02 20:00:00,39.27,77.88,0.37,48.68
2025-05-02 21:00:00,27.83,54.08,0.32,45.1
2025-05-02 22:00:00,29.49,55.29,0.51,37.76
2025-05-02 23:00:00,34.08,80.14,0.15,52.73
2025-05-03 00:00:00,31.76,51.78,0.96,47.94
2025-05-03 01:00:00,17.82,57.2,0.46,39.04
2025-05-03 02:00:00,31.64,49.86,0.54,47.11
2025-05-03 03:00:00,27.91,78.22,0.3,49.54
2025-05-03 04:00:00,28.03,62.27,0.4,47.31
2025-05-03 05:00:00,26.12,66.86,0.98,45.8
2025-05-03 06:00:00,30.41,72.31,0.94,50.96
2025-05-03 07:00:00,25.79,63.05,0.19,40.06
2025-05-03 08:00:00,27.18,77.06,0.43,49.78
2025-05-03 09:00:00,28.14,66.57,0.08,40.66
2025-05-03 10:00:00,31.57,63.41,0.83,53.75
2025-05-03 11:00:00,29.7,63.86,0.84,42.34
2025-05-03 12:00:00,29.99,64.91,0.03,41.66
2025-05-03 13:00:00,32.33,63.24,0.47,45.09
2025-05-03 14:00:00,28.51,52.17,0.33,40.29
2025-05-03 15:00:00,32.09,55.86,0.75,49.84
2025-05-03 16:00:00,25.73,60.47,0.78,42.86
2025-05-03 17:00:00,31.59,61.32,0.29,49.49
2025-05-03 18:00:00,42.81,67.1,0.09,53.86
2025-05-03 19:00:00,29.3,47.6,0.24,35.09
2025-05-03 20:00:00,28.13,67.14,0.13,41.25
2025-05-03 21:00:00,33.11,53.25,0.13,43.84
2025-05-03 22:00:00,23.58,57.31,0.98,44.24
2025-05-03 23:00:00,24.07,46.54,0.8,35.09
2025-05-04 00:00:00,30.5,71.97,0.82,55.76
